Date and Time,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Condition,Temperature_Normalized,Humidity_Normalized,Wind_Normalized,Date,Temp_Diff_From_Daily_Mean
2025-05-01 12:00:00,38.32,25,1.07,scattered clouds,0.7674418604651161,0.45454545454545453,0.0618705035971223,2025-05-01,3.875
2025-05-01 15:00:00,36.7,21,1.92,few clouds,0.6627906976744187,0.3333333333333333,0.18417266187050357,2025-05-01,2.2550000000000026
2025-05-01 18:00:00,33.19,21,4.46,clear sky,0.43604651162790664,0.3333333333333333,0.5496402877697841,2025-05-01,-1.2550000000000026
2025-05-01 21:00:00,29.57,29,2.06,light rain,0.20219638242894034,0.5757575757575757,0.20431654676258992,2025-05-01,-4.875
2025-05-02 00:00:00,29.3,29,4.05,broken clouds,0.18475452196382425,0.5757575757575757,0.4906474820143884,2025-05-02,-4.786249999999999
2025-05-02 03:00:00,33.19,25,5.39,light rain,0.43604651162790664,0.45454545454545453,0.6834532374100719,2025-05-02,-0.896250000000002
2025-05-02 06:00:00,37.88,18,7.59,light rain,0.7390180878552972,0.24242424242424238,1.0,2025-05-02,3.793750000000003
2025-05-02 09:00:00,40.37,13,2.05,overcast clouds,0.8998708010335912,0.09090909090909088,0.20287769784172655,2025-05-02,6.283749999999998
2025-05-02 12:00:00,39.5,14,2.02,light rain,0.8436692506459946,0.12121212121212122,0.1985611510791367,2025-05-02,5.41375
2025-05-02 15:00:00,31.88,26,5.71,light rain,0.35142118863049077,0.4848484848484848,0.7294964028776978,2025-05-02,-2.2062500000000007
2025-05-02 18:00:00,30.43,30,2.13,light rain,0.2577519379844959,0.6060606060606062,0.21438848920863307,2025-05-02,-3.65625
2025-05-02 21:00:00,30.14,30,2.4,light rain,0.239018087855297,0.6060606060606062,0.2532374100719424,2025-05-02,-3.946249999999999
2025-05-03 00:00:00,28.85,35,1.76,light rain,0.15568475452196373,0.7575757575757576,0.16115107913669063,2025-05-03,-5.833750000000002
2025-05-03 03:00:00,33.39,24,2.79,overcast clouds,0.4489664082687337,0.42424242424242425,0.3093525179856115,2025-05-03,-1.2937500000000028
2025-05-03 06:00:00,39.69,15,3.68,scattered clouds,0.85594315245478,0.15151515151515155,0.437410071942446,2025-05-03,5.006249999999994
2025-05-03 09:00:00,41.92,11,2.95,overcast clouds,0.9999999999999998,0.03030303030303033,0.33237410071942447,2025-05-03,7.236249999999998
2025-05-03 12:00:00,41.88,10,1.11,overcast clouds,0.9974160206718345,0.0,0.06762589928057554,2025-05-03,7.196249999999999
2025-05-03 15:00:00,32.83,23,3.29,scattered clouds,0.4127906976744182,0.393939393939394,0.38129496402877694,2025-05-03,-1.8537500000000051
2025-05-03 18:00:00,30.72,29,4.18,light rain,0.27648578811369484,0.5757575757575757,0.5093525179856114,2025-05-03,-3.9637500000000045
2025-05-03 21:00:00,28.19,37,1.98,light rain,0.11304909560723497,0.8181818181818183,0.1928057553956834,2025-05-03,-6.493750000000002
2025-05-04 00:00:00,26.44,43,4.18,light rain,0.0,1.0,0.5093525179856114,2025-05-04,-7.0425
2025-05-04 03:00:00,31.05,31,4.71,overcast clouds,0.29780361757105944,0.6363636363636365,0.5856115107913669,2025-05-04,-2.432500000000001
2025-05-04 06:00:00,37.82,18,2.98,overcast clouds,0.7351421188630487,0.24242424242424238,0.3366906474820143,2025-05-04,4.337499999999999
2025-05-04 09:00:00,40.87,14,2.12,overcast clouds,0.9321705426356586,0.12121212121212122,0.21294964028776975,2025-05-04,7.387499999999996
2025-05-04 12:00:00,40.41,14,3.52,broken clouds,0.9024547803617569,0.12121212121212122,0.4143884892086331,2025-05-04,6.927499999999995
2025-05-04 15:00:00,32.83,25,4.65,light rain,0.4127906976744182,0.45454545454545453,0.5769784172661871,2025-05-04,-0.6525000000000034
2025-05-04 18:00:00,30.09,34,3.43,scattered clouds,0.23578811369509034,0.7272727272727273,0.4014388489208633,2025-05-04,-3.392500000000002
2025-05-04 21:00:00,28.35,39,2.93,scattered clouds,0.12338501291989656,0.8787878787878789,0.3294964028776978,2025-05-04,-5.1325
2025-05-05 00:00:00,27.38,41,1.71,broken clouds,0.06072351421188604,0.9393939393939394,0.15395683453237408,2025-05-05,-7.028749999999999
2025-05-05 03:00:00,31.63,31,2.66,overcast clouds,0.3352713178294573,0.6363636363636365,0.2906474820143885,2025-05-05,-2.7787499999999987
2025-05-05 06:00:00,37.01,21,2.96,overcast clouds,0.6828165374676998,0.3333333333333333,0.33381294964028774,2025-05-05,2.6012500000000003
2025-05-05 09:00:00,40.41,16,1.51,overcast clouds,0.9024547803617569,0.18181818181818182,0.1251798561151079,2025-05-05,6.001249999999999
2025-05-05 12:00:00,40.17,15,0.64,overcast clouds,0.8869509043927646,0.15151515151515155,0.0,2025-05-05,5.761250000000004
2025-05-05 15:00:00,35.95,19,1.1,overcast clouds,0.6143410852713178,0.27272727272727276,0.06618705035971224,2025-05-05,1.5412500000000051
2025-05-05 18:00:00,32.34,27,4.46,broken clouds,0.3811369509043929,0.5151515151515151,0.5496402877697841,2025-05-05,-2.0687499999999943
2025-05-05 21:00:00,30.38,30,2.11,broken clouds,0.25452196382428927,0.6060606060606062,0.21151079136690643,2025-05-05,-4.028749999999999
2025-05-06 00:00:00,28.74,34,2.75,broken clouds,0.1485788113695088,0.7272727272727273,0.30359712230215824,2025-05-06,-5.995000000000001
2025-05-06 03:00:00,33.04,27,5.04,broken clouds,0.42635658914728647,0.5151515151515151,0.6330935251798562,2025-05-06,-1.6950000000000003
2025-05-06 06:00:00,38.11,18,1.92,broken clouds,0.7538759689922478,0.24242424242424238,0.18417266187050357,2025-05-06,3.375
2025-05-06 09:00:00,39.05,17,1.69,overcast clouds,0.8145994832041341,0.2121212121212121,0.1510791366906475,2025-05-06,4.314999999999998
